retailer_country,order_method_type,retailer_type,product_line,product_type,product,year,quarter,revenue,quantity,gross_margin
Netherlands,Web,Eyewear Store,Personal Accessories,Watches,TX,2012,Q3 2012,39784.0,209,0.45365976
Spain,Web,Sports Store,Personal Accessories,Eyewear,Inferno,2014,Q1 2014,122453.75,1799,0.45001864
Italy,Web,Eyewear Store,Personal Accessories,Eyewear,Polar Sun,2013,Q1 2013,31635.38,520,0.5701648
Poland,Web,Department Store,Personal Accessories,Eyewear,Polar Ice,2012,Q4 2012,22253.0,214,0.52214713
Brazil,Web,Sports Store,Personal Accessories,Knives,Max Gizmo,2013,Q3 2013,32644.7,807,0.54797471
Sweden,Sales visit,Sports Store,Personal Accessories,Eyewear,Polar Sun,2013,Q3 2013,4019.6,65,0.57713454
Brazil,Web,Outdoors Shop,Personal Accessories,Binoculars,Seeker Extreme,2012,Q3 2012,7726.95,45,0.45186652
France,Web,Department Store,Personal Accessories,Eyewear,Bella,2012,Q4 2012,10575.0,141,0.41746667
China,Web,Department Store,Personal Accessories,Knives,Pocket Gizmo,2012,Q4 2012,5697.4,467,0.59344262
Japan,Web,Sports Store,Personal Accessories,Eyewear,Cat Eye,2014,Q2 2014,133732.9,4542,0.3390432
Sweden,Web,Outdoors Shop,Mountaineering Equipment,Rope,Husky Rope 50,2014,Q2 2014,29032.0,191,0.33611842
Poland,Telephone,Sports Store,Camping Equipment,Cooking Gear,TrailChef Cup,2012,Q2 2012,5200.75,1465,0.76056338
Australia,Web,Eyewear Store,Personal Accessories,Eyewear,Polar Wave,2014,Q3 2014,3155.46,33,0.56996444
Mexico,Sales visit,Warehouse Store,Outdoor Protection,Insect Repellents,BugShield Natural,2013,Q1 2013,12888.0,2148,0.69
United States,Web,Equipment Rental Store,Mountaineering Equipment,Safety,Granite Signal Mirror,2014,Q2 2014,21549.0,653,0.52393939
Finland,Web,Department Store,Camping Equipment,Sleeping Bags,Hibernator Pad,2014,Q1 2014,31933.68,1192,0.38596491
Singapore,Web,Department Store,Personal Accessories,Binoculars,Seeker 35,2013,Q2 2013,110233.06,1102,0.28831351
Singapore,Web,Department Store,Golf Equipment,Golf Accessories,Course Pro Gloves,2014,Q1 2014,7969.5,759,0.75714286
France,Sales visit,Outdoors Shop,Mountaineering Equipment,Safety,Husky Harness,2013,Q4 2013,11053.25,179,0.29117409
Japan,Web,Department Store,Personal Accessories,Eyewear,Cat Eye,2012,Q4 2012,56675.5,1546,0.33195208
Belgium,Web,Department Store,Camping Equipment,Sleeping Bags,Hibernator Lite,2013,Q1 2013,33380.1,390,0.29898353
Switzerland,Web,Outdoors Shop,Camping Equipment,Lanterns,EverGlow Butane,2012,Q4 2012,3219.3,49,0.38158295
Spain,Web,Golf Shop,Personal Accessories,Eyewear,Maximus,2014,Q2 2014,3864.0,46,0.50892857
Sweden,Web,Golf Shop,Personal Accessories,Knives,Pocket Gizmo,2014,Q2 2014,27180.3,2107,0.62308841
Netherlands,Web,Outdoors Shop,Personal Accessories,Eyewear,Maximus,2012,Q4 2012,59275.0,733,0.49293581
Italy,Web,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Pillow,2013,Q1 2013,13572.85,769,0.52124646
Denmark,Web,Sports Store,Personal Accessories,Eyewear,Capri,2012,Q4 2012,8043.0,210,0.33472585
United Kingdom,Sales visit,Sports Store,Personal Accessories,Binoculars,Seeker 35,2013,Q3 2013,20306.09,203,0.28831351
France,Web,Golf Shop,Golf Equipment,Irons,Hailstorm Titanium Irons,2013,Q1 2013,48561.93,55,0.48932219
Austria,Telephone,Department Store,Camping Equipment,Tents,Star Peg,2012,Q3 2012,1919.0,950,0.5049505
Japan,Sales visit,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Canteen,2014,Q2 2014,11219.71,769,0.44345442
Netherlands,Web,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Extreme,2013,Q1 2013,123421.2,490,0.40447832
Italy,Web,Outdoors Shop,Mountaineering Equipment,Safety,Granite Signal Mirror,2013,Q1 2013,10725.0,325,0.52393939
Sweden,Telephone,Outdoors Shop,Mountaineering Equipment,Safety,Husky Harness,2013,Q1 2013,47362.25,767,0.29117409
Germany,Web,Sports Store,Personal Accessories,Eyewear,Maximus,2013,Q4 2013,145379.75,1672,0.50740499
United States,Web,Eyewear Store,Personal Accessories,Eyewear,Maximus,2013,Q1 2013,115422.0,1396,0.49620107
Switzerland,Fax,Golf Shop,Personal Accessories,Watches,Kodiak,2012,Q3 2012,8731.4,70,0.45558788
United States,Telephone,Outdoors Shop,Outdoor Protection,Insect Repellents,BugShield Extreme,2012,Q3 2012,36347.92,5524,0.63221884
Mexico,Web,Equipment Rental Store,Mountaineering Equipment,Rope,Husky Rope 60,2013,Q1 2013,25270.0,140,0.29911357
Singapore,Web,Department Store,Personal Accessories,Watches,Mountain Man Digital,2012,Q4 2012,4479.96,111,0.50445986
Mexico,Web,Outdoors Shop,Personal Accessories,Eyewear,Capri,2013,Q1 2013,53466.8,1396,0.34234347
Spain,Telephone,Department Store,Camping Equipment,Cooking Gear,TrailChef Kettle,2012,Q3 2012,47828.48,3808,0.59315287
Switzerland,Web,Warehouse Store,Camping Equipment,Tents,Star Gazer 3,2012,Q2 2012,36275.37,57,0.3306202
United Kingdom,Web,Eyewear Store,Personal Accessories,Watches,Mountain Man Extreme,2014,Q3 2014,8478.0,30,0.5888535
